parameter_name,Center distance travelled
gene_accession_id,MGI:1913396
analysis_id,5v39j6811wcjebt
parameter_id,JAX_OFD_014_001
mouse_life_stage,Early adult
gene_symbol,Maco1
mouse_strain,C57BL
pvalue,0.9386221
