parameter_id,JAXLA_OFD_020_001
gene_accession_id,MGI:109356
parameter_name,Distance travelled - total
mouse_life_stage,Late adult
pvalue,0.5887964
mouse_strain,C57BL
gene_symbol,Snap23
analysis_id,540qw60c446c72k
