analysis_id,9d4155x5rf5q270
gene_accession_id,MGI:108072
mouse_strain,C57BL
pvalue,0.3458704
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Traf6
parameter_id,MGP_IMM_011_001
