parameter_name,Blood Vessel Morphology
mouse_strain,C57BL
pvalue,0.3116979
gene_symbol,Dcaf12
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:1916220
analysis_id,i504ygx9kuzi3d3
