parameter_id,IMPC_HEM_027_001
parameter_name,Red blood cell distribution width
pvalue,0.8694389
mouse_strain,C57BL
gene_symbol,Slc2a8
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
analysis_id,7tvpetc5akge964
