analysis_id,18a5v81t74587kg
gene_symbol,Arpc5l
Parameter_name,HR
Mouse_strain,C57BL
Gene_accession_id,MGI:1921442
Mouse_life_stage,Early adult
parameter_id,JAXLA_ECG_002_001
Pvalue,0.9491543
