gene_symbol,Hspa5
analysis_id,7eq2zk21k7oks5n
parameter_id,MGP_IMM_020_001
gene_accession_id,MGI:95835
pvalue,0.8128855
parameter_name,Effector gd T cells - % of gd T cells
mouse_life_stage,E12.5
mouse_strain,C57BL
