analysis_id,1ywm640286zlph1
gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_strain,C57BL
parameter_name,Hemorrhage
mouse_life_stage,E9.5
parameter_id,IMPC_GEO_009_002
pvalue,0.3046604
