analysis_id,d3fj57w7xhbp613
parameter_id,MGP_IMM_001_001
mouse_strain,C57BL
gene_symbol,Dnaaf9
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
pvalue,0.2580167
