analysis_id,9ns7wmk1lhcwr49
gene_accession_id,MGI:894679
parameter_name,Alpha beta T cell percentage
mouse_life_stage,Early adult
gene_symbol,Bach2
parameter_id,MGP_PBI_002_001
mouse_strain,C57BL
pvalue,0.7894024
