analysis_id,n4601yvt0618b64
gene_symbol,Exd1
pvalue,0.9907702
gene_accession_id,MGI:3045306
parameter_name,Eye
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
