analysis_id,6e1f85354eb4unm
gene_accession_id,MGI:87968
gene_symbol,Ahcy
parameter_id,IMPC_IMM_067_001
pvalue,0.4981914
parameter_name,Follicular B Cells (CD21/35+)
mouse_life_stage,E9.5
mouse_strain,C57BL
