Parameter_name,Head morphology
gene_symbol,Abo
Parameter_id,MGP_CSD_064_001
Analysis_id,paj301m28o0j2a2
Mouse_strain,C57BL
Pvalue,0.4250462
gene_accession_id,MGI:2135738
Mouse_life_stage,Early adult
