gene_symbol,Rhbg
gene_accession_id,MGI:1927379
mouse_strain,C57BL
analysis_id,u0a4fd561yy85bp
pvalue,0.2023231
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_036_001
parameter_name,% Pre-pulse inhibition - PPI4
