parameter_name,Shape of ribcage
pvalue,0.8379558
gene_symbol,Tiprl
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,acf32ngjdk72r2u
gene_accession_id,MGI:1915087
