gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
mouse_strain,C57BL
parameter_name,Number of rears - total
analysis_id,y4kba5p9u8n4q71
pvalue,0.7211838
mouse_life_stage,Early adult
parameter_id,JAX_OFD_021_001
