analysis_id,veqx2oxbxyt5803
gene_symbol,Hspa5
parameter_name,Distance travelled - total
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_020_001
mouse_strain,C57BL
pvalue,0.05396837
