analysis_id,8o5w2ye467v578s
parameter_id,IMPC_GEL_063_001
parameter_name,Delayed embryonic development
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
gene_symbol,Eprs1
mouse_strain,C57BL
pvalue,0.5637876
