analysis_id,i2139oy0gl4p71c
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
parameter_name,Whole arena resting time
pvalue,0.05468014
gene_accession_id,MGI:109356
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_007_001
