gene_symbol,Etfdh
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_070_001
analysis_id,2z8djw47l068589
mouse_strain,C57BL
gene_accession_id,MGI:106100
pvalue,0.6542529
parameter_name,Lower teeth appearance
