analysis_id,ppls34t75cz91c8
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_007_001_015
pvalue,0.3162118
gene_symbol,Sgip1
parameter_name,Number of centre entries
