parameter_name,Placenta Morphology
analysis_id,qeq0gz3v49hq2b1
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
gene_symbol,Lime1
gene_accession_id,MGI:1919949
pvalue,0.7757278
mouse_strain,C57BL
