gene_symbol,Ola1
parameter_id,MGP_IMM_041_001
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,Total B cells - % of CD45+
pvalue,0.5276385
analysis_id,la8lvqj11kd3p8j
gene_accession_id,MGI:1914309
