analysis_id,lk72rbdgp1d1v2d
parameter_id,IMPC_CBC_004_001
pvalue,0.7744124
mouse_life_stage,Early adult
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
mouse_strain,C57BL
parameter_name,Urea (Blood Urea Nitrogen - BUN)
