parameter_name,cDCs CD11b Type
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:2444777
pvalue,0.2057575
mouse_life_stage,Early adult
gene_symbol,Ncaph
analysis_id,ep1q7qh432qdsmt
