pvalue,1.886311e-05
mouse_strain,C57BL
gene_symbol,Steap3
mouse_life_stage,Early adult
parameter_id,JAX_OFD_013_001
analysis_id,37765v11wozf153
gene_accession_id,MGI:1915678
parameter_name,Periphery average speed
