analysis_id,9f263hb63p74fh0
gene_symbol,Slc30a4
mouse_life_stage,Late adult
gene_accession_id,MGI:1345282
pvalue,1.262747
parameter_id,MGP_IMM_125_001
parameter_name,Eosinophils - % of CD45+
mouse_strain,C57BL
