parameter_name,NK cell number
gene_symbol,Snap23
pvalue,0.5837408
mouse_strain,C57BL
gene_accession_id,MGI:109356
analysis_id,eqkj70t4662b071
mouse_life_stage,Middle aged adult
parameter_id,MGP_PBI_027_001
