analysis_id,s8705725v10hwk0
mouse_strain,C57BL
parameter_name,Effector NK cells - % of NK cells
gene_symbol,Ola1
pvalue,0.9284684
mouse_life_stage,Early adult
parameter_id,MGP_MLN_032_001
gene_accession_id,MGI:1914309
