gene_symbol,Kif24
analysis_id,226504299kzlp6w
parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
pvalue,0.8508884
