analysis_id,x1l2d327bbs351d
gene_symbol,Lpgat1
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_id,IMPC_CSD_012_001
mouse_life_stage,Early adult
pvalue,0.3442772
