analysis_id,c0qq24008g9741l
gene_accession_id,MGI:95457
mouse_strain,C3H
pvalue,0.1690281
mouse_life_stage,Early adult
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_MLN_031_001
gene_symbol,Mecom
