mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.3835704
parameter_name,PP1 + pulse startle magnitude
gene_accession_id,MGI:1934811
parameter_id,ESLIM_011_001_007
gene_symbol,Nucks1
analysis_id,6jb369fzg23h915
