parameter_name,Number of centre entries
pvalue,0.3153762
parameter_id,ESLIM_007_001_015
gene_symbol,Col6a3
gene_accession_id,MGI:88461
analysis_id,m0088o52v016943
mouse_strain,C57BL
mouse_life_stage,Early adult
