analysis_id,128ylga6o2tuk56
gene_accession_id,MGI:1920344
pvalue,0.964413
parameter_id,MGP_PBI_002_001
mouse_strain,C57BL
parameter_name,Alpha beta T cell percentage
gene_symbol,Sgip1
mouse_life_stage,Early adult
