gene_symbol,Ntmt2
parameter_name,Mean cell volume
mouse_life_stage,Early adult
analysis_id,x070to9o9kt39l4
mouse_strain,C57BL
gene_accession_id,MGI:2685053
parameter_id,ESLIM_016_001_005
pvalue,0.5449044
