analysis_id,row34193y521967
mouse_strain,C57BL
parameter_name,Placenta Size
pvalue,0.6490063
gene_accession_id,MGI:1276578
gene_symbol,Gfi1b
mouse_life_stage,Early adult
parameter_id,IMPC_GPP_004_001
