analysis_id,7426b30fp9qj2eo
parameter_id,MGP_IMM_094_001
mouse_strain,C57BL
gene_symbol,ATRN
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:1341628
pvalue,0.104465
mouse_life_stage,Early adult
