parameter_id,JAXLA_CSD_039_001
mouse_life_stage,Late adult
parameter_name,Limb grasp
analysis_id,37463p525bs4415
mouse_strain,C57BL
pvalue,0.7390324
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
