parameter_id,IMPC_EYE_003_001
mouse_life_stage,E12.5
analysis_id,8nm7334k3l39431
pvalue,0.9566115
gene_symbol,Wars2
parameter_name,Eye Hemorrhage or Blood Presence
mouse_strain,C57BL
gene_accession_id,MGI:1917810
