gene_symbol,Trp53i11
parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
gene_accession_id,MGI:2670995
pvalue,1.461471
analysis_id,9g5485374b1sjap
mouse_strain,C57BL
mouse_life_stage,Early adult
