parameter_name,cDCs CD11b Type
gene_accession_id,MGI:1914061
pvalue,0.5125927
parameter_id,IMPC_IMM_073_001
mouse_strain,C57BL
gene_symbol,Duoxa2
mouse_life_stage,Early adult
analysis_id,8v78qm94p9zi380
