analysis_id,o2nvbn20b1t1csk
pvalue,0.2869819
mouse_strain,C57BL
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
parameter_name,Fractional Shortening
parameter_id,IMPC_ECH_005_001
gene_symbol,Rab3gap2
