analysis_id,j75ca6j8dax00x9
mouse_life_stage,E9.5
pvalue,0.05590102
gene_accession_id,MGI:97838
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_name,Startle response
parameter_id,HMGULA_SHI_009_001
