gene_symbol,Rab3gap2
mouse_strain,C57BL
parameter_id,MGP_IMM_072_001
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
pvalue,0.3412196
analysis_id,5zps12r2mfrk072
parameter_name,CD4+ T helper cells - % of CD45+
