analysis_id,1c2pd2gk1rbn9za
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
gene_symbol,Bach2
parameter_id,MGP_PBI_009_001
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.9138614
mouse_strain,C57BL
