parameter_id,IMPC_EYE_007_001
pvalue,0.1550968
parameter_name,Cornea
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,90ij6186y75729b
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
