mouse_strain,129SV
gene_accession_id,MGI:2684980
parameter_name,Potassium
analysis_id,15d426946y4g048
parameter_id,GMC_906_001_005
mouse_life_stage,Early adult
pvalue,0.2494403
gene_symbol,Mms22l
