gene_symbol,Kif24
gene_accession_id,MGI:1918345
pvalue,0.4587841
parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,88u0xqy0ozv9m03
