gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
pvalue,0.4996377
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
analysis_id,241c2619884rved
parameter_name,Creatinine
