gene_symbol,Ahcy
parameter_id,TCPLA_XRY_033_001
mouse_life_stage,E9.5
analysis_id,ll0js52m6hza49x
mouse_strain,C57BL
parameter_name,Tibia length
gene_accession_id,MGI:87968
pvalue,0.1650971
