analysis_id,212k418fo5akq6g
mouse_life_stage,Early adult
gene_accession_id,MGI:103302
parameter_name,CV
parameter_id,IMPC_ECG_003_001
pvalue,0.8303868
mouse_strain,C57BL
gene_symbol,Bmp7
