analysis_id,66ix8177fo06j97
parameter_id,IMPC_DXA_007_001
parameter_name,BMC/Body weight
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.24597
