analysis_id,n6lql2e90p3fr2t
parameter_id,HMGULA_CBC_015_001
mouse_strain,C57BL
gene_accession_id,MGI:1934811
pvalue,9.939181e-05
mouse_life_stage,Late adult
gene_symbol,Nucks1
parameter_name,Total cholesterol
