gene_symbol,Mms22l
parameter_name,30kHz-evoked ABR Threshold
analysis_id,403143m9z63fooy
mouse_strain,C57BL
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
pvalue,0.9678232
parameter_id,IMPC_ABR_012_001
