parameter_name,Tail bud morphology
gene_accession_id,MGI:1346344
mouse_strain,B6J
parameter_id,IMPC_GEL_033_001
analysis_id,l4y5052tp50jmt5
pvalue,0.2957445
mouse_life_stage,Early adult
gene_symbol,Nr0b2
