parameter_id,IMPC_XRY_007_001
pvalue,0.5013099
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Clavicle
analysis_id,2341q463z8x12p3
