gene_symbol,Hspa5
parameter_id,M-G-P_026_001_004
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:95835
analysis_id,3851m882366m9q4
parameter_name,Coat colouration
pvalue,0.3016793
