gene_symbol,Sla2
mouse_strain,C50BL
pvalue,0.2310839
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
parameter_name,Red blood cell distribution width
parameter_id,IMPC_HEM_027_001
analysis_id,401l1rg4tb5ht13
