analysis_id,9tth73k858k3nap
pvalue,0.2014318
gene_accession_id,MGI:106100
parameter_id,HRWLLA_DXA_007_001
mouse_strain,C57BL
parameter_name,BMC/Body weight
gene_symbol,Etfdh
mouse_life_stage,Early adult
