analysis_id,5yos522kq30fi93
parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
pvalue,0.4787707
parameter_name,T cells - % of CD45+
mouse_life_stage,Late adult
gene_symbol,Hpca
gene_accession_id,MGI:1336200
