mouse_life_stage,Middle aged adult
analysis_id,091737zdadvw84n
gene_accession_id,MGI:2140475
parameter_name,Periphery distance travelled
pvalue,0.6943585
parameter_id,JAX_OFD_010_001
gene_symbol,AU040320
mouse_strain,C57BL
