parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:1339969
pvalue,0.5812026
mouse_strain,C57BL
parameter_name,ST
analysis_id,2n93j3s4atg48ye
gene_symbol,Gja10
mouse_life_stage,Early adult
