analysis_id,6zj5938hy984245
mouse_life_stage,Early adult
pvalue,0.4598347
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
parameter_name,Total food intake
